no,province,provinceID,district,districtID,neighborhood,neighborhoodID
166,Amasya,27,Göynücek,153,Kışlabeyi Köyü,47181
167,Amasya,27,Göynücek,153,Konuralan Köyü,47496
168,Amasya,27,Göynücek,153,Koyuncu Köyü,48909
169,Amasya,27,Göynücek,153,Kuyulu Kavaklı Köyü,136511
170,Amasya,27,Göynücek,153,Merkez,47098
171,Amasya,27,Göynücek,153,Penpeli Köyü,157204
172,Amasya,27,Göynücek,153,Sığırçayı Köyü,47199
173,Amasya,27,Göynücek,153,Şarklı Köyü,47172
174,Amasya,27,Göynücek,153,Şeyhler Köyü,48302
175,Amasya,27,Göynücek,153,Şeyhoğlu Köyü,155865
176,Amasya,27,Göynücek,153,Tencirli Köyü,48809
177,Amasya,27,Göynücek,153,Terzi Köyü,153622
178,Amasya,27,Göynücek,153,Yassıkışla Köyü,48334
179,Amasya,27,Göynücek,153,Yeni,48289
180,Amasya,27,Göynücek,153,Yeniköy Köyü,47136
181,Amasya,27,Gümüşhacıköy,154,Adatepe,154889
182,Amasya,27,Gümüşhacıköy,154,Ağcadede,205877
183,Amasya,27,Gümüşhacıköy,154,Akpınar Köyü,156987
184,Amasya,27,Gümüşhacıköy,154,Alören Köyü,150030
185,Amasya,27,Gümüşhacıköy,154,Artıkabat,154975
186,Amasya,27,Gümüşhacıköy,154,Aşağıovacık Köyü,203119
187,Amasya,27,Gümüşhacıköy,154,Bacakoğlu Köyü,152929
188,Amasya,27,Gümüşhacıköy,154,Bademli Köyü,153458
189,Amasya,27,Gümüşhacıköy,154,Balıklı Köyü,150031
190,Amasya,27,Gümüşhacıköy,154,Beden Köyü,155953
191,Amasya,27,Gümüşhacıköy,154,Camikebir,205875
192,Amasya,27,Gümüşhacıköy,154,Cumara,155387
193,Amasya,27,Gümüşhacıköy,154,Çal Köyü,203118
194,Amasya,27,Gümüşhacıköy,154,Çavuş Köyü,149845
195,Amasya,27,Gümüşhacıköy,154,Çay,155974
196,Amasya,27,Gümüşhacıköy,154,Çetmi Köyü,157206
197,Amasya,27,Gümüşhacıköy,154,Çıtlıbağlıca Köyü,134062
198,Amasya,27,Gümüşhacıköy,154,Çiftçioğlu Köyü,136676
199,Amasya,27,Gümüşhacıköy,154,Derbentobruğu Köyü,155176
200,Amasya,27,Gümüşhacıköy,154,Doluca Köyü,157557
201,Amasya,27,Gümüşhacıköy,154,Dumanlı Köyü,154888
202,Amasya,27,Gümüşhacıköy,154,Eslemez Köyü,152108
203,Amasya,27,Gümüşhacıköy,154,Güblüce Köyü,154955
204,Amasya,27,Gümüşhacıköy,154,Güllüce Köyü,155335
205,Amasya,27,Gümüşhacıköy,154,Güvemözü Köyü,134551
206,Amasya,27,Gümüşhacıköy,154,Hacıyahya,151938
207,Amasya,27,Gümüşhacıköy,154,Irgat,205876
208,Amasya,27,Gümüşhacıköy,154,İmirler Köyü,153017
209,Amasya,27,Gümüşhacıköy,154,Kağnıcı Köyü,154882
210,Amasya,27,Gümüşhacıköy,154,Karaali Köyü,153654
211,Amasya,27,Gümüşhacıköy,154,Karacaören Köyü,153623
212,Amasya,27,Gümüşhacıköy,154,Karakaya Köyü,152304
213,Amasya,27,Gümüşhacıköy,154,Keçiköy Köyü,153943
